"primary","celllinename","tissue","gcell_gene__nrpkm_ALK","gcell_gene__nrpkm_APC","gcell_gene__nrpkm_ARID1A","gcell_gene__nrpkm_BCL6","gcell_gene__nrpkm_BRAF","gcell_gene__nrpkm_CBL","gcell_gene__nrpkm_CDKN2A","gcell_gene__nrpkm_CIC","gcell_gene__nrpkm_CSMD3","gcell_gene__nrpkm_CTNNB1","gcell_gene__nrpkm_DAXX","gcell_gene__nrpkm_DNAH5","gcell_gene__nrpkm_DNAJB1","gcell_gene__nrpkm_DNMT3A","gcell_gene__nrpkm_EGFR","gcell_gene__nrpkm_ERBB2","gcell_gene__nrpkm_FBXW7","gcell_gene__nrpkm_GLI1","gcell_gene__nrpkm_IDH1","gcell_gene__nrpkm_KMT2D","gcell_gene__nrpkm_KRAS","gcell_gene__nrpkm_LGALS7","gcell_gene__nrpkm_MET","gcell_gene__nrpkm_MUC16","gcell_gene__nrpkm_NFE2L2","gcell_gene__nrpkm_NOTCH2","gcell_gene__nrpkm_PIK3CA","gcell_gene__nrpkm_PRCC","gcell_gene__nrpkm_PTEN","gcell_gene__nrpkm_RUNX1","gcell_gene__nrpkm_TET2","gcell_gene__nrpkm_TP53","gcell_gene__nrpkm_TP63"
"CL586459","NCI-H810","Lung",0.0247579158734002,4.02946876867598,43.9553750128308,0.867000935164016,3.53879716378942,7.29999058942263,31.3290859133224,6.1820350515507,0.273325291396784,47.0932460522496,29.2215361478451,0.355112101086966,48.7484235839017,15.6780623592505,0.0108055096963563,1.34071131310365,14.1042840239511,0,58.142345959273,19.586856241497,25.0440796777983,0,14.9663780588053,0,17.1755889875494,1.33322740096062,3.60476739012468,91.4902317771,3.33041382086539,2.12426578961636,3.44056963544157,0.666108785109451,0.0907102528805969
"CL130853","NCI-N417","Lung",3.53936942295187,10.6897393325759,27.0637895220245,5.85789762782988,8.36394923920806,11.292142200636,40.5862485355964,14.4361616068753,2.03274591137487,49.3850492358408,33.6208337086284,0.217891848549817,26.6648396116464,5.75610212864902,6.87186530153656,1.21250048959475,2.65836725832539,0.0793270439771609,21.282166430621,6.9241124435495,8.41398989515189,0,20.0184742519336,0,12.6654703412539,0.107072262419341,3.36357833142618,59.7369949353978,0.0178742890716235,0.0130638172981577,2.89906397433969,1.58081788639056,0.00549514542186617
"CL129697","NCI-H1048","Lung",0.0216572201996013,3.43033617627624,18.3536767812994,1.54505465153792,2.39584745008106,7.10649545013872,48.2280980211122,6.83608708570113,0,140.612678393173,37.9057670547462,0.0493365689866566,43.3622490666694,7.07228871201776,13.9413964541383,4.62562351182808,3.59342582665922,0.529290243556241,24.4704077166399,2.56988418071991,9.7410332612644,0,14.2765308597497,0,33.9625601939788,7.00729370329912,2.4221146403568,75.7097424893238,6.44290665010592,2.5464356457813,2.55396274076329,37.97061276757,0.350232931105277
"CL586019","NCI-H196","Lung",0.0141802628746067,2.48310715698538,12.1213831623165,4.15164493702918,7.57955063115497,3.7907977048187,64.5848707896494,13.9523226495933,0.00521829664783302,69.3934640258836,44.7030753623477,0.0942187443301986,46.5684061393547,2.29964345060733,19.9654829291103,19.1108370564642,2.99056071458183,0.672425242010182,38.8656228051926,9.48239268101673,5.69924417663982,0,35.8577408617785,0,23.6428655827135,40.619952525318,6.30195373627612,46.1596523376222,6.50860831346608,4.52034197181158,3.79106298213119,27.9177680495025,3.12804374649278
"CL129701","NCI-H1993","Lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL586027","NCI-H2170","Lung",0.00487669017744987,2.75974125918785,14.8024405107732,4.47198752247931,5.12254025383522,6.43750893305972,0.0509372374410546,11.4822539126084,0.00358921639613294,68.0065589866333,21.0619633158634,0.0421746510756591,32.8186706524772,8.3609821974019,1.47853905111329,1445.53902760123,3.57411248382471,0.0177885905532533,85.2114037836286,7.5290907997529,12.1168219669263,0,23.1007971640147,0.0029360755632903,24.4141279699646,6.07260029681819,2.00723693514351,42.2457476515817,3.08185804121456,8.98568810329227,3.00532389310405,28.8424706309141,0.0345030501213752
"CL586345","NCI-H510A","Lung",0.208993193218729,4.57894930289253,35.6018439239037,5.08677168801482,2.9367402896538,8.14857614932343,10.1209168043818,8.18711739844688,0.21790856202773,79.4852138266519,51.1685349537538,1.5559419756779,40.7944577055177,12.0358208592369,4.31195256506126,2.35367919147249,4.09366698135219,0.0779665563624903,25.5261325630697,15.0278510947916,13.7106867024319,0,19.3458699541494,0,33.903978531214,6.93972521850255,3.53455248322569,32.2850764638045,3.48578633989261,4.68508871082005,2.40227820717961,26.4197328548758,0.0864144269139509
"CL129193","NCI-H520","Lung",0.105494952481577,9.83338636985251,18.6033323060036,4.349750848476,4.76918007962581,11.4533203718461,11.0567723027983,6.27781229444154,0.0147892740041876,139.746885915034,33.9792873632725,0.0025431156130018,93.3092819873886,6.10827032978812,0.129797183092572,1.11975383318031,2.95080621886997,0.0164919218935525,32.0830892975612,14.5409510582497,7.09704630701143,0,2.11888199338875,0,17.2240258839387,9.04872786824201,4.30225689607481,48.6049504199192,1.14288452366299,27.6422289913016,2.37639163139856,1.26906747528009,0.0030464771170925
"CL586438","MOR","Lung",0.749897496678391,3.02803991339269,20.8445387570148,5.02567950493081,5.23473053439888,4.02889925986579,7.09295534145304,7.73510841683397,0.0281070531998559,89.5866068145191,32.2363271720654,1.70150529849386,62.4103176548809,7.34965966231843,3.94263542172979,24.4952289569834,2.31125647044715,0.170961490272193,76.9483846455671,15.0117983075574,11.9184284482231,0,14.538164601052,0.00705446353871016,20.9468931971825,3.84594219748817,2.76287572714627,53.0337432582006,5.31124319238981,8.03757546611831,1.56040801869136,1.82389377018956,0.0315809322515581
"CL131999","NCI-H1975 (MB)","Lung",0.0185166652897536,3.87674309796587,8.38268743703282,2.05087273792119,4.57236837159281,4.86034023603494,10.4163678582501,2.60903083658761,0,110.113328631149,14.4699621444344,2.4383084827448,56.7187469057176,1.62656383055023,33.3836737002679,15.895810477621,2.21442446307958,0.0578938405116585,26.5807014668595,11.0049674687352,4.90724958292229,0,76.6770984991605,3.09641317847276,24.4604436230848,10.4190184043876,3.36513067989053,35.4210926380891,6.53789725843397,13.6719461319264,0.450388505658378,26.754854706875,0.451841092107746
